净值日期,单位净值,日增长率
2019-08-15,4.9623,-0.1127
2019-08-16,5.0304,1.3723
2019-08-19,5.0707,0.8011
2019-08-20,5.0734,0.0532
2019-08-21,5.0451,-0.5578
2019-08-22,5.1285,1.6531
2019-08-23,5.1936,1.2694
2019-08-26,5.1292,-1.24
2019-08-27,5.2261,1.8892
2019-08-28,5.2048,-0.4076
2019-08-29,5.2171,0.2363
2019-08-30,5.3062,1.7078
2019-09-02,5.3453,0.7369
2019-09-03,5.3029,-0.7932
2019-09-04,5.2705,-0.611
2019-09-05,5.2924,0.4155
2019-09-06,5.3125,0.3798
2019-09-09,5.3087,-0.0715
2019-09-10,5.2924,-0.307
2019-09-11,5.1454,-2.7776
2019-09-12,5.1986,1.0339
2019-09-16,5.169,-0.5694
2019-09-17,5.1454,-0.4566
2019-09-18,5.273,2.4799
2019-09-19,5.2667,-0.1195
2019-09-20,5.2947,0.5316
2019-09-23,5.2337,-1.1521
2019-09-24,5.3121,1.498
2019-09-25,5.2922,-0.3746
2019-09-26,5.2694,-0.4308
2019-09-27,5.2647,-0.0892
2019-09-30,5.2293,-0.6724
2019-10-08,5.283,1.0269
2019-10-09,5.2513,-0.6
2019-10-10,5.3328,1.552
2019-10-11,5.3538,0.3938
2019-10-14,5.3447,-0.17
2019-10-15,5.3919,0.8831
2019-10-16,5.3639,-0.5193
2019-10-17,5.3725,0.1603
2019-10-18,5.3144,-1.0814
2019-10-21,5.2869,-0.5175
2019-10-22,5.3027,0.2989
2019-10-23,5.25,-0.9938
2019-10-24,5.184,-1.2571
2019-10-25,5.2546,1.3619
2019-10-28,5.3053,0.9649
2019-10-29,5.2848,-0.3864
2019-10-30,5.2823,-0.0473
2019-10-31,5.3217,0.7459
2019-11-01,5.4348,2.1253
2019-11-04,5.4667,0.587
2019-11-05,5.4931,0.4829
2019-11-06,5.4546,-0.7009
2019-11-07,5.4822,0.506
2019-11-08,5.4775,-0.0857
2019-11-11,5.4148,-1.1447
2019-11-12,5.4479,0.6113
2019-11-13,5.5077,1.0977
2019-11-14,5.5334,0.4666
2019-11-15,5.4922,-0.7446
2019-11-18,5.4984,0.1129
2019-11-19,5.5653,1.2167
2019-11-20,5.5537,-0.2084
2019-11-21,5.5118,-0.7545
2019-11-22,4.8745,-2.491
2019-11-25,4.851,-0.4821
2019-11-26,4.8865,0.7318
2019-11-27,4.8578,-0.5873
2019-11-28,4.8471,-0.2203
2019-11-29,4.7459,-2.0878
2019-12-02,4.7341,-0.2486
2019-12-03,4.7245,-0.2028
2019-12-04,4.748,0.4974
2019-12-05,4.7673,0.4065
2019-12-06,4.8305,1.3257
2019-12-09,4.7867,-0.9067
2019-12-10,4.8021,0.3217
2019-12-11,4.7974,-0.0979
2019-12-12,4.7769,-0.4273
2019-12-13,4.8731,2.0139
2019-12-16,4.8619,-0.2298
2019-12-17,4.8923,0.6253
2019-12-18,4.868,-0.4967
2019-12-19,4.8449,-0.4745
2019-12-20,4.8361,-0.1816
2019-12-23,4.8142,-0.4528
2019-12-24,4.8313,0.3552
2019-12-25,4.7994,-0.6603
2019-12-26,4.8552,1.1626
2019-12-27,4.8483,-0.1421
2019-12-30,4.9114,1.3015
2019-12-31,4.9607,1.0038
2020-01-02,4.9348,-0.5221
2020-01-03,4.8767,-1.1774
2020-01-06,4.7873,-1.8332
2020-01-07,4.8272,0.8335
2020-01-08,4.8134,-0.2859
2020-01-09,4.9049,1.9009
2020-01-10,4.9685,1.2967
2020-01-13,5.0368,1.3747
2020-01-14,4.9983,-0.7644
2020-01-15,5.0017,0.068
2020-01-16,5.0181,0.3279
2020-01-17,5.0197,0.0319
2020-01-20,5.0262,0.1295
2020-01-21,4.9916,-0.6884
2020-01-22,4.975,-0.3326
2020-01-23,4.8404,-2.7055
2020-02-03,4.5302,-6.4086
2020-02-04,4.5848,1.2052
2020-02-05,4.7141,2.8202
2020-02-06,4.838,2.6283
2020-02-07,4.824,-0.2894
2020-02-10,4.861,0.767
2020-02-11,4.9281,1.3804
2020-02-12,4.9444,0.3308
2020-02-13,4.917,-0.5542
2020-02-14,4.9622,0.9193
2020-02-17,4.9751,0.26
2020-02-18,4.9235,-1.0372
2020-02-19,4.9131,-0.2112
2020-02-20,5.0409,2.6012
2020-02-21,5.0408,-0.002
2020-02-24,4.9898,-1.0117
2020-02-25,4.9822,-0.1523
2020-02-26,4.9005,-1.6398
2020-02-27,4.9392,0.7897
2020-02-28,4.7986,-2.8466
2020-03-02,4.9184,2.4966
2020-03-03,4.9876,1.407
2020-03-04,5.021,0.6697
2020-03-05,5.1839,3.2444
2020-03-06,5.097,-1.6763
2020-03-09,4.9477,-2.9292
2020-03-10,5.0289,1.6412
2020-03-11,4.9876,-0.8213
2020-03-12,4.875,-2.2576
2020-03-13,4.8006,-1.5262
2020-03-16,4.6044,-4.087
2020-03-17,4.599,-0.1173
2020-03-18,4.5167,-1.7895
2020-03-19,4.3677,-3.2989
2020-03-20,4.5071,3.1916
2020-03-23,4.3749,-2.9331
2020-03-24,4.5346,3.6504
2020-03-25,4.6952,3.5417
2020-03-26,4.7031,0.1683
2020-03-27,4.7091,0.1276
2020-03-30,4.6019,-2.2764
2020-03-31,4.7277,2.7337
2020-04-01,4.7298,0.0444
2020-04-02,4.7789,1.0381
2020-04-03,4.7888,0.2072
2020-04-07,4.8878,2.0673
2020-04-08,4.8591,-0.5872
2020-04-09,4.9093,1.0331
2020-04-10,4.9232,0.2831
2020-04-13,4.9022,-0.4266
2020-04-14,4.9608,1.1954
2020-04-15,4.9382,-0.4556
2020-04-16,4.9275,-0.2167
2020-04-17,4.9565,0.5885
2020-04-20,4.9713,0.2986
2020-04-21,4.8775,-1.8868
2020-04-22,4.9761,2.0215
2020-04-23,5.0342,1.1676
2020-04-24,5.0243,-0.1967
2020-04-27,5.0367,0.2468
2020-04-28,5.1748,2.7419
2020-04-29,5.1188,-1.0822
2020-04-30,5.1083,-0.2051
2020-05-06,5.1291,0.4072
2020-05-07,5.1706,0.8091
2020-05-08,5.1941,0.4545
2020-05-11,5.167,-0.5217
2020-05-12,5.213,0.8903
2020-05-13,5.3205,2.0622
2020-05-14,5.2913,-0.5488
2020-05-15,5.2343,-1.0772
2020-05-18,5.3705,2.6021
2020-05-19,5.4574,1.6181
2020-05-20,5.4103,-0.863
2020-05-21,5.4327,0.414
2020-05-22,5.2857,-2.7058
2020-05-25,5.3593,1.3924
2020-05-26,5.4372,1.4535
2020-05-27,5.4019,-0.6492
2020-05-28,5.3855,-0.3036
2020-05-29,5.499,2.1075
2020-06-01,5.6364,2.4986
2020-06-02,5.5603,-1.3502
2020-06-03,5.5623,0.036
2020-06-04,5.6337,1.2836
2020-06-05,5.7087,1.3313
2020-06-08,5.6904,-0.3206
2020-06-09,5.7548,1.1317
2020-06-10,5.8007,0.7976
2020-06-11,5.7386,-1.0706
2020-06-12,5.7762,0.6552
2020-06-15,5.6643,-1.9373
2020-06-16,5.746,1.4424
2020-06-17,5.7787,0.5691
2020-06-18,5.7742,-0.0779
2020-06-19,5.9142,2.4246
2020-06-22,5.8818,-0.5478
2020-06-23,6.021,2.3666
2020-06-24,5.9874,-0.558
2020-06-29,6.0034,0.2672
2020-06-30,6.0604,0.9495
2020-07-01,6.1843,2.0444
2020-07-02,6.316,2.1296
2020-07-03,6.3369,0.3309
2020-07-06,6.4312,1.4881
2020-07-07,6.566,2.096
2020-07-08,6.5485,-0.2665
2020-07-09,6.7052,2.3929
2020-07-10,6.7573,0.777
2020-07-13,6.9783,3.2705
2020-07-14,6.9704,-0.1132
2020-07-15,7.0735,1.4791
2020-07-16,6.548,-7.4291
2020-07-17,6.5765,0.4352
2020-07-20,6.5503,-0.3984
2020-07-21,6.7015,2.3083
2020-07-22,6.8423,2.101
2020-07-23,6.9384,1.4045
2020-07-24,6.6289,-4.4607
2020-07-27,6.7586,1.9566
2020-07-28,6.836,1.1452
